@T,table
Created,2018-03-01 15:12
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,337.0578555410517
,1994-01-02 00:00,336.7078555410517
,1994-01-03 00:00,336.3578555410517
,1994-01-04 00:00,336.0078555410517
,1994-01-05 00:00,335.65785554105173
,1994-01-06 00:00,335.9173181170517
,1994-01-07 00:00,335.74022039405173
,1994-01-08 00:00,340.9140265860517
,1994-01-09 00:00,340.5640265860517
,1994-01-10 00:00,340.4176059810517
,1994-01-11 00:00,340.27729747105167
,1994-01-12 00:00,340.0047596150516
,1994-01-13 00:00,339.6547596150516
,1994-01-14 00:00,339.30475961505164
,1994-01-15 00:00,339.1620362590516
,1994-01-16 00:00,338.8120362590516
,1994-01-17 00:00,338.4620362590516
,1994-01-18 00:00,338.1120362590516
,1994-01-19 00:00,337.7620362590516
,1994-01-20 00:00,337.4120362590516
,1994-01-21 00:00,337.0620362590516
,1994-01-22 00:00,336.7120362590516
,1994-01-23 00:00,336.3620362590516
,1994-01-24 00:00,336.0120362590516
,1994-01-25 00:00,335.66203625905166
,1994-01-26 00:00,335.3120362590517
,1994-01-27 00:00,334.96203625905173
,1994-01-28 00:00,334.6120362590517
,1994-01-29 00:00,334.26203625905174
,1994-01-30 00:00,333.9120362590518
,1994-01-31 00:00,333.5620362590518
,1994-02-01 00:00,333.2120362590518
,1994-02-02 00:00,332.86203625905176
,1994-02-03 00:00,332.5120362590518
,1994-02-04 00:00,332.1620362590518
,1994-02-05 00:00,331.81203625905175
,1994-02-06 00:00,331.49002607305175
,1994-02-07 00:00,333.0890238870517
,1994-02-08 00:00,332.73902388705176
,1994-02-09 00:00,332.38902388705174
,1994-02-10 00:00,332.0390238870517
,1994-02-11 00:00,331.6890238870517
,1994-02-12 00:00,331.33902388705167
,1994-02-13 00:00,330.9890238870517
,1994-02-14 00:00,330.6390238870517
,1994-02-15 00:00,330.2890238870517
,1994-02-16 00:00,329.93902388705175
,1994-02-17 00:00,329.5890238870518
,1994-02-18 00:00,329.23902388705176
,1994-02-19 00:00,328.8890238870518
,1994-02-20 00:00,328.53902388705177
,1994-02-21 00:00,328.18902388705175
,1994-02-22 00:00,327.8390238870517
,1994-02-23 00:00,327.48902388705176
,1994-02-24 00:00,327.1670827630517
