@T,table
Created,2016-10-24 09:03
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,0.0
,1994-01-01 01:00,0.0
,1994-01-01 02:00,0.0
,1994-01-01 03:00,0.0
,1994-01-01 04:00,0.0
,1994-01-01 05:00,0.0
,1994-01-01 06:00,0.0
,1994-01-01 07:00,0.0
,1994-01-01 08:00,1.444267246364164E-4
,1994-01-01 09:00,3.312271004428592E-4
,1994-01-01 10:00,4.5675092633122073E-4
,1994-01-01 11:00,5.535362851207631E-4
,1994-01-01 12:00,6.719262606615132E-4
,1994-01-01 13:00,6.594149091125595E-4
,1994-01-01 14:00,5.369357473238183E-4
,1994-01-01 15:00,2.55048369971265E-4
,1994-01-01 16:00,0.0
,1994-01-01 17:00,0.0
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,0.0
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0

