@T,table
Created,2016-11-18 09:35
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,1.0291069687938298E-7
,1994-01-01 01:00,8.800191784446931E-7
,1994-01-01 02:00,3.1701938801653133E-6
,1994-01-01 03:00,6.555587609093017E-6
,1994-01-01 04:00,1.256508543002663E-5
,1994-01-01 05:00,2.1685396756657615E-5
,1994-01-01 06:00,3.260410335391696E-5
,1994-01-01 07:00,4.510268071100426E-5
,1994-01-01 08:00,6.00495981951455E-5
,1994-01-01 09:00,7.583096242621629E-5
,1994-01-01 10:00,9.144159969475798E-5
,1994-01-01 11:00,1.0689275618358087E-4
,1994-01-01 12:00,1.2222232542929978E-4
,1994-01-01 13:00,1.3740289089728046E-4
,1994-01-01 14:00,1.5246537342037745E-4
,1994-01-01 15:00,1.673776225401605E-4
,1994-01-01 16:00,1.821510298252987E-4
,1994-01-01 17:00,1.96786816394729E-4
,1994-01-01 18:00,2.1128619266129939E-4
,1994-01-01 19:00,2.2565035842561686E-4
,1994-01-01 20:00,2.3988050296907314E-4
,1994-01-01 21:00,2.5397780514605477E-4
,1994-01-01 22:00,2.6794343347534495E-4
,1994-01-01 23:00,2.817785462307241E-4
,1994-01-02 00:00,2.9548429153077645E-4

