@T,table
Created,2018-01-16 14:52
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,2.3632978963567647E-4
,1994-01-01 01:00,2.3829076411865794E-4
,1994-01-01 02:00,2.422170915873616E-4
,1994-01-01 03:00,2.4522239130921644E-4
,1994-01-01 04:00,2.5185179142146996E-4
,1994-01-01 05:00,2.597521706913148E-4
,1994-01-01 06:00,2.6465685282207554E-4
,1994-01-01 07:00,2.6910562167252726E-4
,1994-01-01 08:00,2.757301411092221E-4
,1994-01-01 09:00,2.785548089065366E-4
,1994-01-01 10:00,2.7882757845931413E-4
,1994-01-01 11:00,2.792852081645403E-4
,1994-01-01 12:00,2.798387672808633E-4
,1994-01-01 13:00,2.8031705824406943E-4
,1994-01-01 14:00,2.808504282844454E-4
,1994-01-01 15:00,2.8112554904357825E-4
,1994-01-01 16:00,2.811248317131031E-4
,1994-01-01 17:00,2.8121977163364015E-4
,1994-01-01 18:00,2.81219053953673E-4
,1994-01-01 19:00,2.812183362763681E-4
,1994-01-01 20:00,2.813137109037053E-4
,1994-01-01 21:00,2.813129928752441E-4
,1994-01-01 22:00,2.813122748494468E-4
,1994-01-01 23:00,2.813115568263135E-4
,1994-01-02 00:00,2.81310838805844E-4
,1994-01-02 01:00,2.8131012078803854E-4
,1994-01-02 02:00,2.813094027728968E-4
,1994-01-02 03:00,2.81308684760419E-4
,1994-01-02 04:00,2.8130796675060503E-4
,1994-01-02 05:00,2.8130724874345493E-4
,1994-01-02 06:00,2.8130653073896866E-4
,1994-01-02 07:00,2.813058127371461E-4
,1994-01-02 08:00,2.813050947379875E-4
,1994-01-02 09:00,2.813043767414925E-4
,1994-01-02 10:00,2.813036587476615E-4
,1994-01-02 11:00,2.813029407564942E-4
,1994-01-02 12:00,2.813022227679905E-4
,1994-01-02 13:00,2.8130150478215056E-4
,1994-01-02 14:00,2.813007867989744E-4
,1994-01-02 15:00,2.813000688184619E-4
,1994-01-02 16:00,2.812993508406132E-4
,1994-01-02 17:00,2.8129863286542795E-4
,1994-01-02 18:00,2.812979148929066E-4
,1994-01-02 19:00,2.8129719692304885E-4
,1994-01-02 20:00,2.8129647895585474E-4
,1994-01-02 21:00,2.8129576099132425E-4
,1994-01-02 22:00,2.812950430294574E-4
