@T,table
Created,2016-10-20 12:35
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,3.173805229999999E-5
,1994-01-01 01:00,1.2608928154185704E-4
,1994-01-01 02:00,3.089237098811136E-4
,1994-01-01 03:00,4.3032957697755354E-4
,1994-01-01 04:00,7.171092481174872E-4
,1994-01-01 05:00,0.0010380963650153663
,1994-01-01 06:00,0.0011856887620620175
,1994-01-01 07:00,0.001297857479517063
,1994-01-01 08:00,0.0015014212083889512
,1994-01-01 09:00,0.0015065228599958882
,1994-01-01 10:00,0.0013905027327000233
,1994-01-01 11:00,0.0012927259250483652
,1994-01-01 12:00,0.0012075626188541258
,1994-01-01 13:00,0.0011263630633629221
,1994-01-01 14:00,0.0010552054259087367
,1994-01-01 15:00,9.787815477784606E-4
,1994-01-01 16:00,8.96562708446513E-4
,1994-01-01 17:00,8.257287718226528E-4
,1994-01-01 18:00,7.563665516455929E-4
,1994-01-01 19:00,6.928308422455175E-4
,1994-01-01 20:00,6.391305311373602E-4
,1994-01-01 21:00,5.854427899135965E-4
,1994-01-01 22:00,5.362648841886634E-4
,1994-01-01 23:00,4.912179823007532E-4
,1994-01-02 00:00,4.499550749079685E-4

